Date,Penguin ID,Weight (g),Height (cm),Width (cm)
2023-10-05,P-001,5030,64.0,19.0
2023-10-12,P-001,4940,64.3,18.8
2023-10-13,P-001,4780,64.3,18.7
2023-10-14,P-001,4675,64.3,18.4
2023-10-21,P-001,4587,64.0,18.5
2023-10-22,P-001,4592,63.9,18.4
2023-10-24,P-001,4418,64.2,18.0
2023-10-02,P-002,4848,60.8,18.3
2023-10-05,P-002,4798,60.7,18.2
2023-10-09,P-002,4622,60.6,17.9
2023-10-18,P-002,4643,60.4,17.7
2023-10-30,P-002,4417,60.3,17.5
2023-10-05,P-003,5059,63.4,19.1
2023-10-06,P-003,4979,63.0,19.1
2023-10-09,P-003,4851,62.8,18.9
2023-10-21,P-003,4850,62.9,18.6
2023-10-25,P-003,4710,63.2,18.8
2023-10-01,P-004,4754,60.6,18.2
2023-10-10,P-004,4594,60.7,18.1
2023-10-17,P-004,4520,60.9,17.9
2023-10-18,P-004,4409,60.7,17.8
2023-10-19,P-004,4308,60.6,17.7
2023-10-20,P-004,4252,60.8,17.3
2023-10-25,P-004,4053,60.8,17.6
2023-10-30,P-004,3939,60.7,17.1
2023-10-01,P-005,5123,64.3,18.9
2023-10-04,P-005,5091,64.5,18.6
2023-10-06,P-005,4928,64.3,18.6
2023-10-13,P-005,4811,64.8,18.3
2023-10-14,P-005,4799,64.7,18.5
2023-10-21,P-005,4625,64.6,18.0
2023-10-25,P-005,4542,64.3,18.3
2023-10-06,P-006,4905,62.4,19.0
2023-10-15,P-006,4829,62.3,19.0
2023-10-18,P-006,4718,62.4,18.6
2023-10-24,P-006,4518,62.2,18.6
2023-10-25,P-006,4613,62.8,18.7
2023-10-26,P-006,4365,62.6,18.4
2023-10-27,P-006,4259,62.6,18.3
2023-10-10,P-007,4928,61.5,19.1
2023-10-21,P-007,4826,61.5,19.0
2023-10-24,P-007,4712,61.0,18.8
2023-10-25,P-007,4594,61.2,18.5
2023-10-30,P-007,4489,61.2,18.3
2023-10-03,P-008,4758,64.7,19.8
2023-10-05,P-008,4642,64.5,19.5
2023-10-12,P-008,4497,64.3,19.2
2023-10-14,P-008,4487,64.7,19.2
2023-10-18,P-008,4326,64.7,19.0
2023-10-02,P-009,4767,63.8,19.6
2023-10-04,P-009,4611,64.2,19.5
2023-10-05,P-009,4541,63.9,19.4
2023-10-17,P-009,4487,63.9,19.3
2023-10-20,P-009,4367,63.9,18.9
2023-10-21,P-009,4277,64.1,18.8
2023-10-01,P-010,4702,62.2,18.0
2023-10-02,P-010,4652,62.3,17.9
2023-10-05,P-010,4587,62.3,17.8
2023-10-10,P-010,4524,62.1,17.7
2023-10-15,P-010,4293,62.3,17.4
2023-10-17,P-010,4391,62.0,17.4
2023-10-19,P-010,4036,62.3,17.3
2023-10-05,P-011,4772,60.1,19.3
2023-10-07,P-011,4673,60.3,19.2
2023-10-09,P-011,4537,60.3,18.9
2023-10-13,P-011,4452,60.1,18.9
2023-10-19,P-011,4505,60.1,18.8
2023-10-26,P-011,4463,60.1,18.3
2023-10-07,P-012,5136,60.3,18.3
2023-10-15,P-012,5003,60.6,18.1
2023-10-17,P-012,4896,60.4,17.9
2023-10-24,P-012,4822,60.5,17.8
2023-10-28,P-012,4828,60.2,17.6
2023-10-05,P-013,4794,62.8,18.6
2023-10-16,P-013,4740,62.9,18.4
2023-10-18,P-013,4637,62.8,18.3
2023-10-22,P-013,4552,63.1,17.9
2023-10-24,P-013,4423,63.1,17.9
2023-10-26,P-013,4395,63.1,18.0
2023-10-04,P-014,5175,64.9,19.5
2023-10-12,P-014,5021,65.1,19.2
2023-10-13,P-014,5005,64.7,19.3
2023-10-14,P-014,4785,65.1,19.1
2023-10-21,P-014,4811,65.0,18.8
2023-10-25,P-014,4689,64.6,19.0
2023-10-26,P-014,4767,64.8,18.5
2023-10-02,P-015,5088,63.4,18.1
2023-10-03,P-015,4987,63.8,17.9
2023-10-09,P-015,4961,63.5,17.8
2023-10-18,P-015,4792,63.4,17.8
2023-10-20,P-015,4838,63.4,17.7
2023-10-23,P-015,4556,63.6,17.2
